X/L,R/L
0.00000,0.03924
0.00763,0.03934
0.01527,0.03957
0.02290,0.03992
0.03053,0.04039
0.03817,0.04097
0.04580,0.04165
0.05344,0.04244
0.06107,0.04332
0.06870,0.04429
0.07634,0.04535
0.08397,0.04648
0.09160,0.04769
0.09924,0.04897
0.10687,0.05032
0.11450,0.05172
0.12214,0.05318
0.12977,0.05468
0.13740,0.05623
0.14504,0.05781
0.15267,0.05942
0.16031,0.06107
0.16794,0.06273
0.17557,0.06441
0.18321,0.06610
0.19084,0.06780
0.19847,0.06949
0.20611,0.07118
0.21374,0.07286
0.22137,0.07453
0.22901,0.07617
0.23664,0.07779
0.24427,0.07937
0.25191,0.08092
0.25954,0.08243
0.26718,0.08389
0.27481,0.08529
0.28244,0.08664
0.29008,0.08792
0.29771,0.08914
0.30534,0.09028
0.31298,0.09134
0.32061,0.09232
0.32824,0.09320
0.33588,0.09399
0.34351,0.09468
0.35115,0.09527
0.35878,0.09574
0.36641,0.09610
0.37405,0.09633
0.38168,0.09649
0.38931,0.09649
0.39695,0.09649
0.40458,0.09649
0.41221,0.09649
0.41985,0.09649
0.42748,0.09649
0.43511,0.09649
0.44275,0.09649
0.45038,0.09649
0.45802,0.09649
0.46565,0.09649
0.47328,0.09649
0.48092,0.09649
0.48855,0.09649
0.49618,0.09649
0.50382,0.09649
0.51145,0.09649
0.51908,0.09649
0.52672,0.09649
0.53435,0.09649
0.54198,0.09649
0.54962,0.09649
0.55725,0.09649
0.56489,0.09649
0.57252,0.09649
0.58015,0.09649
0.58779,0.09649
0.59542,0.09649
0.60305,0.09649
0.61069,0.09649
0.61832,0.09649
0.62595,0.09649
0.63359,0.09649
0.64122,0.09649
0.64885,0.09649
0.65649,0.09649
0.66412,0.09649
0.67176,0.09649
0.67939,0.09649
0.68702,0.09649
0.69466,0.09649
0.70229,0.09649
0.70992,0.09649
0.71756,0.09649
0.72519,0.09649
0.73282,0.09649
0.74046,0.09649
0.74809,0.09620
0.75573,0.09573
0.76336,0.09521
0.77099,0.09465
0.77863,0.09404
0.78626,0.09335
0.79389,0.09259
0.80153,0.09173
0.80916,0.09077
0.81679,0.08970
0.82443,0.08850
0.83206,0.08717
0.83969,0.08569
0.84733,0.08406
0.85496,0.08226
0.86260,0.08027
0.87023,0.07810
0.87786,0.07573
0.88550,0.07314
0.89313,0.07033
0.90076,0.06728
0.90840,0.06399
0.91603,0.06045
0.92366,0.05663
0.93130,0.05254
0.93893,0.04815
0.94656,0.04347
0.95420,0.03847
0.96183,0.03315
0.96947,0.02749
0.97710,0.02149
0.98473,0.01514
0.99237,0.00841
1.00000,0.00000
